source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-14,P2726,P2726,P2726,ELV US 05/15/26 C380,-1.0,-1.0,OPTC_EQY,,17.3,-1730.0,53V99IGA9,
umb,2026-05-14,P2726,P2726,P2726,EMR US 05/15/26 C141,-1.0,-1.0,OPTC_EQY,,0.35,-35.0,6VI9996Q7,
umb,2026-05-14,P2726,P2726,P2726,ETN US 05/15/26 C402.5,-1.0,-1.0,OPTC_EQY,,7.25,-725.0,6XQ99I6Y7,
umb,2026-05-14,P2726,P2726,P2726,GE US 05/15/26 C297.5,-3.0,-3.0,OPTC_EQY,,0.84,-252.0,6QB99IDE4,
umb,2026-05-14,P2726,P2726,P2726,GILD US 05/15/26 C131,-2.0,-2.0,OPTC_EQY,,1.93,-386.0,69Z99IPW3,
umb,2026-05-14,P2726,P2726,P2726,GOOG US 05/15/26 C395,-5.0,-5.0,OPTC_EQY,,3.95,-1975.0,653997H82,
umb,2026-05-14,P2726,P2726,P2726,GOOGL US 05/15/26 C400,-6.0,-6.0,OPTC_EQY,,3.42,-2055.0,5IT99MVO3,
umb,2026-05-14,P2726,P2726,P2726,HD US 05/15/26 C317.5,-1.0,-1.0,OPTC_EQY,,0.16,-16.5,6W2997DA3,
umb,2026-05-14,P2726,P2726,P2726,HON US 05/15/26 C212.5,-2.0,-2.0,OPTC_EQY,,5.65,-1130.0,6NA99IAL9,
umb,2026-05-14,P2726,P2726,P2726,IBM US 05/15/26 C230,-2.0,-2.0,OPTC_EQY,,0.08,-15.0,56G992RN4,
umb,2026-05-14,P2726,P2726,P2726,INTC US 05/15/26 C125,-6.0,-6.0,OPTC_EQY,,0.5,-303.0,6I3991RQ6,
umb,2026-05-14,P2726,P2726,P2726,ISRG US 05/15/26 C450,-1.0,-1.0,OPTC_EQY,,0.25,-25.0,682991TW4,
umb,2026-05-14,P2726,P2726,P2726,JNJ US 05/15/26 C222.5,-3.0,-3.0,OPTC_EQY,,8.35,-2505.0,69X999OE6,
